is_rooted,is_emulator,has_xposed,battery_status,gps_change,imei,lapsed_real_time,gravity_change_count,gyroscope_change_count,magnetic_change_count,type
0,0,0,0.4,0.0,0.030303030303030307,0.012559513785302895,0.0,0.0,0.0,0
0,0,0,0.8,0.0,0.030303030303030307,0.060546895822473586,0.12769485903814262,0.07438715131022823,0.3259493670886076,0
0,0,0,0.6,0.0,0.030303030303030307,0.004167336676520516,0.23548922056384744,0.07185122569737955,0.1550632911392405,0
0,0,0,0.8,0.624483773031683,0.060606060606060615,0.0014190634916342972,0.2222222222222222,0.12510566356720204,0.13924050632911392,0
0,0,0,0.4,0.0,0.030303030303030307,4.0300725439159465e-05,0.19071310116086235,0.0,0.9493670886075948,1
0,0,0,0.6,0.0,0.060606060606060615,0.014535950786687252,0.12271973466003315,0.04987320371935757,0.14240506329113925,0
0,0,0,0.8,0.0,0.0,0.0,0.023217247097844108,0.016060862214708368,0.014240506329113925,0
0,0,0,0.6,0.0,0.030303030303030307,0.0025139877246101905,0.4212271973466004,0.0,0.9683544303797468,1
0,0,0,0.6,0.0,0.030303030303030307,0.014695715595879332,0.07628524046434494,0.08284023668639054,0.08544303797468354,0
0,0,0,0.6,0.0,0.060606060606060615,0.003909879067123681,0.2155887230514096,0.1158072696534235,0.314873417721519,0
0,0,0,0.6,0.0,0.030303030303030307,0.06060945914242015,0.14427860696517414,0.07523245984784446,0.14082278481012658,0
0,0,0,0.8,0.0,0.030303030303030307,0.1712557388145398,0.12935323383084574,0.0,0.14240506329113925,0
0,0,0,0.6,0.0,0.030303030303030307,0.03657888161489218,0.461028192371476,0.4945054945054945,0.9477848101265824,1
0,0,0,0.6,0.0,0.030303030303030307,0.10758989520861084,0.0,0.0016906170752324595,0.1439873417721519,0
0,0,0,0.6,0.0,0.060606060606060615,0.014535950786687252,0.12271973466003315,0.04987320371935757,0.14240506329113925,0
0,0,0,0.6,0.0,0.060606060606060615,0.009099367287474682,0.263681592039801,0.08960270498732037,0.3037974683544304,0
0,0,0,0.6,0.0,0.09090909090909093,0.03997466157701921,0.04975124378109453,0.07945900253592561,0.13765822784810128,0
0,0,0,0.6,0.0,0.15151515151515152,0.05664751338039184,0.1111111111111111,0.08114961961115807,0.13765822784810128,0
0,0,0,0.6,0.0,0.060606060606060615,0.13153577642281716,0.0,0.0,0.14240506329113925,0
0,0,0,0.6,0.0,0.030303030303030307,0.005429627598439142,0.1625207296849088,0.08537616229923922,0.1819620253164557,0
0,0,0,0.6,0.0,0.18181818181818185,0.017130659856556606,0.1724709784411277,0.04395604395604396,0.18512658227848103,0
0,0,0,0.4,0.0,0.2727272727272727,0.02921551349477278,0.11774461028192372,0.2375316990701606,0.4762658227848101,1
0,0,0,0.6,0.0,0.060606060606060615,0.043631327338495035,0.3681592039800995,0.1352493660185968,0.9889240506329114,1
0,0,0,0.8,0.0,0.30303030303030304,0.027093869571388023,0.16749585406301826,0.08368554522400676,0.14240506329113925,0
0,0,0,0.6,0.0,0.060606060606060615,0.003909879067123681,0.2155887230514096,0.1158072696534235,0.314873417721519,0
0,0,0,0.6,0.0,0.060606060606060615,0.1291108294761527,0.4842454394693201,0.4294167371090448,0.7958860759493671,1
0,0,0,0.8,0.0,0.060606060606060615,0.035949841558994375,0.0,0.0,0.13924050632911392,0
0,0,0,0.4,0.0,0.030303030303030307,0.07482903585829312,0.4096185737976783,0.4437869822485207,0.4731012658227848,1
0,0,0,0.6,0.0,0.060606060606060615,0.13153577642281716,0.0,0.0,0.14240506329113925,0
0,0,0,0.6,0.0,0.09090909090909093,0.03997466157701921,0.04975124378109453,0.07945900253592561,0.13765822784810128,0
1,0,1,1.0,0.0,0.09090909090909093,0.00331264696913073,0.0049751243781094535,0.03127641589180051,0.14873417721518986,2
0,0,0,0.6,0.0,0.18181818181818185,0.17281662807863352,0.14759535655058045,0.06846999154691462,0.9604430379746836,1
0,0,0,0.6,0.0,0.030303030303030307,0.11871157851164632,0.2437810945273632,0.12510566356720204,0.14240506329113925,0
0,0,0,0.4,0.0,0.030303030303030307,0.003968519366128295,0.04145936981757877,0.0169061707523246,0.18829113924050636,0
0,0,0,0.6,0.0,0.12121212121212123,0.09422011749073103,0.15920398009950248,0.073541842772612,0.13924050632911392,0
0,0,0,0.6,0.0,0.060606060606060615,0.009099367287474682,0.263681592039801,0.08960270498732037,0.3037974683544304,0
0,0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0,0,0.8,0.624483773031683,0.060606060606060615,0.0014190634916342972,0.2222222222222222,0.12510566356720204,0.13924050632911392,0
0,0,0,0.8,0.0,0.0,0.0,0.013266998341625208,0.016060862214708368,0.0031645569620253164,0
0,0,0,0.8,0.0,0.060606060606060615,0.0041370459585383925,0.2603648424543947,0.13355874894336436,0.14240506329113925,0
0,0,0,0.6,0.0,0.42424242424242425,0.005984381351967163,0.4776119402985074,0.433643279797126,0.9082278481012658,1
0,0,0,0.8,0.0,0.0,0.0,0.023217247097844108,0.016060862214708368,0.023734177215189875,0
0,0,0,0.6,0.0,0.030303030303030307,0.0035557822133936343,0.02487562189054726,0.04395604395604396,0.14082278481012658,0
0,0,0,0.8,0.0,0.0,0.0,0.009950248756218905,0.016060862214708368,0.01740506329113924,0
0,0,0,0.4,0.0,0.030303030303030307,4.399185102170937e-06,0.4013266998341625,0.4767540152155537,0.9952531645569621,1
0,0,0,0.6,0.0,0.060606060606060615,0.0554237314882584,0.07131011608623547,0.013524936601859678,0.13449367088607594,0
0,0,0,0.4,0.0,0.060606060606060615,0.02080219433460648,0.03316749585406302,0.07269653423499578,0.13765822784810128,0
0,0,0,0.8,0.0,0.18181818181818185,0.10527964878408023,0.0,0.0,0.14556962025316456,0
0,0,0,0.6,0.0,0.030303030303030307,0.06083339251225036,0.0,0.0,0.14715189873417722,0
0,0,0,0.6,0.0,0.18181818181818185,0.17281662807863352,0.14759535655058045,0.06846999154691462,0.9604430379746836,1
0,0,0,0.8,0.0,0.12121212121212123,0.1829676449809955,0.1011608623548922,0.19864750633981404,0.14082278481012658,0
