180****1683,False,False,false,"""862679038018071""",2,117744413.0,0,0,0,115.8456,28.689034000000003,1542016071.228,1542016216.512
199****1410,False,False,false,"""867855027963825""",4,567622189.0,77,88,206,0.0,0.0,1542016214.711,1542016212.285
153****1990,False,False,false,"""862552036684618""",3,39068440.0,142,85,98,0.0,0.0,1542016216.4629998,1542015876.881
189****2811,False,False,false,"""A0000071EECB2D""",4,13303604.0,134,148,88,110.86488999999999,39.655506,1542016215.9429998,1542016211.621
153****0300,False,False,false,"""863523035136313""",2,377816.0,115,0,600,0.0,0.0,1542016216.033,1542016128.252
189****8126,False,False,false,"""A1000058A9B9C1""",3,136273348.0,74,59,90,0.0,0.0,1542016214.785,1542016212.375
153****9129,False,False,0,0,4,0.0,14,19,9,30.656290000000002,117.48233,1542016216.623,1542016202.0
159****0213,False,False,false,"""864128038126243""",3,23568429.0,254,0,612,114.368385,30.507534000000003,1542016215.033,1542016213.4770002
183****9292,False,False,false,"""866932036517891""",3,137771130.0,46,98,54,116.0443,36.44231,1542016215.199,1541678837.5010002
153****2872,False,False,false,"""868551038505247""",3,36654796.0,130,137,199,108.3093,26.672696999999996,1542016215.7489998,1542016211.3979998
153****0288,False,False,false,"""869902044354519""",3,568208715.0,87,89,89,111.67757399999999,31.146152,1542016218.762,1542014982.793
153****0902,False,False,false,"""A0000073A4CE2C""",4,1605508524.0,78,0,90,99.93046,26.016742999999998,1542016215.98,1542016212.34
133****3298,False,False,false,"""866049030927800""",3,342924019.0,278,585,599,117.84413,25.691465,1542016216.11,1542016211.47
180****4905,False,False,false,"""99000967166095""",3,1008646455.0,0,2,91,103.74691,29.594694,1542016216.226,1542016214.8170002
189****8126,False,False,false,"""A1000058A9B9C1""",3,136273348.0,74,59,90,0.0,0.0,1542016214.785,1542016212.2870002
180****4973,False,False,false,"""865968037764430""",3,85305823.0,159,106,192,114.35399,30.565445,1542016214.937,1542016210.224
177****2708,False,False,false,"""864178035460871""",3,374759178.0,30,94,87,0.0,0.0,1542016219.101,1542016215.826
173****9827,False,False,false,"""86537103093292""",3,531065798.0,67,96,87,0.0,0.0,1542016207.468,1542016216.802
177****0927,False,False,false,"""868241034368739""",3,1233137130.0,0,0,90,103.74535,29.603777,1542016214.8,1542016212.115
166****9167,False,False,false,"""862668037409126""",3,50902314.0,98,101,115,107.39678,34.536896,1542016216.252,1542016213.9320002
153****1245,False,False,false,"""869150039348050""",3,160598533.0,104,52,117,116.7955,23.444777,1542016198.2410002,1542016195.83
189****0692,False,False,false,"""A10000547F96D2""",2,273893046.0,71,281,301,118.20143999999999,24.639372,1542016175.14,1542016197.79
180****0669,False,False,false,"""867007039131187""",3,409040120.0,222,160,625,117.390854,32.935394,1542016214.647,1542016210.8439999
180****3823,False,False,false,"""A00000649C6F2A""",4,254002808.0,101,99,90,118.31525400000001,32.200140000000005,1542016212.24,1542016217.701
153****2872,False,False,false,"""868551038505247""",3,36654796.0,130,137,199,108.3093,26.672696999999996,1542016215.7489998,1542016211.385
180****1771,False,False,false,"""865580035079875""",3,1210403451.0,292,508,503,87.58821,43.807938,1542016213.5379999,1542016213.099
133****6770,False,False,false,"""864854040638574""",4,337026820.0,0,0,88,121.14023,28.355990000000002,1542016215.6279998,1542016211.9829998
153****5319,False,False,false,"""A000008755E64C""",2,701516082.0,247,525,299,114.59728,38.0285,1542016215.664,1542016211.016
177****0927,False,False,false,"""868241034368739""",3,1233137130.0,0,0,90,103.74535,29.603777,1542016214.8,1542016211.9970002
177****2708,False,False,false,"""864178035460871""",3,374759178.0,30,94,87,0.0,0.0,1542016219.101,1542016215.681
153****9294,True,False,true,"""A100000D280136""",5,31055794.0,3,37,94,0.0,0.0,1542016215.961,1542016193.7220001
173****0283,False,False,false,"""868843041511142""",3,1620141733.0,89,81,607,112.7803,22.270198999999998,1542016215.461,1542016213.687
189****3082,False,False,false,"""99001211585934""",3,1112911325.0,147,148,90,118.3845,24.96179,1542016215.3470001,1542012931.5670002
199****5792,False,False,false,"""A100005560DFDB""",2,37204544.0,25,20,119,112.48816000000001,37.822359999999996,1542016215.019,1542015246.679
